cell_length,89106_muR,89106_sigmaR,138683_muR,138683_sigmaR,184205_muR,184205_sigmaR,238915_muR,238915_sigmaR,278988_muR,278988_sigmaR,317503_muR,317503_sigmaR,361200_muR,361200_sigmaR,390696_muR,390696_sigmaR,419261_muR,419261_sigmaR,478731_muR,478731_sigmaR,529635_muR,529635_sigmaR,582479_muR,582479_sigmaR,609415_muR,609415_sigmaR,675535_muR,675535_sigmaR,857741_muR,857741_sigmaR,1050621_muR,1050621_sigmaR,1141084_muR,1141084_sigmaR,1247573_muR,1247573_sigmaR,1294874_muR,1294874_sigmaR,1343534_muR,1343534_sigmaR,1381955_muR,1381955_sigmaR,1434983_muR,1434983_sigmaR,1490213_muR,1490213_sigmaR,1544332_muR,1544332_sigmaR,1637533_muR,1637533_sigmaR,1691393_muR,1691393_sigmaR,1770230_muR,1770230_sigmaR,1843762_muR,1843762_sigmaR,1893823_muR,1893823_sigmaR,1939174_muR,1939174_sigmaR,2011787_muR,2011787_sigmaR,2068333_muR,2068333_sigmaR,2089891_muR,2089891_sigmaR,2119822_muR,2119822_sigmaR,2167711_muR,2167711_sigmaR,2228702_muR,2228702_sigmaR,2290211_muR,2290211_sigmaR,2358096_muR,2358096_sigmaR,2407106_muR,2407106_sigmaR,2476628_muR,2476628_sigmaR,2591047_muR,2591047_sigmaR,2700020_muR,2700020_sigmaR,2778037_muR,2778037_sigmaR,2818831_muR,2818831_sigmaR,2860445_muR,2860445_sigmaR,2887493_muR,2887493_sigmaR,2947724_muR,2947724_sigmaR,2995043_muR,2995043_sigmaR,3042391_muR,3042391_sigmaR,3059496_muR,3059496_sigmaR,3147273_muR,3147273_sigmaR,3186006_muR,3186006_sigmaR,3238409_muR,3238409_sigmaR,3322004_muR,3322004_sigmaR,3365537_muR,3365537_sigmaR,3418776_muR,3418776_sigmaR,3525463_muR,3525463_sigmaR,3563721_muR,3563721_sigmaR,3720965_muR,3720965_sigmaR,3817644_muR,3817644_sigmaR,3960236_muR,3960236_sigmaR,4158275_muR,4158275_sigmaR,4227578_muR,4227578_sigmaR,4252177_muR,4252177_sigmaR,4326932_muR,4326932_sigmaR,4362293_muR,4362293_sigmaR,4427841_muR,4427841_sigmaR,4569174_muR,4569174_sigmaR
1.88028772432352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773292700081929,0.0317226019655006,0.0631493733638743,0.0808914440932906,0.150431473186298,0.089548504135092,0.110120411595671,0.08399112705347,0.120826984387801,0.0800554312249527,0.12583872044208,0.0778397403882516,0.135160107141494,0.0827638079665075,0.0838924802947201,0.0670068553853994,0.0451475705326433,0.0733937450934452,0.0745710935953068,0.0709325338117573,0.107195947043253,0.0783111097260292,0.108354169278344,0.0728342200209086,0.158016496864251,0.0314982172154341,NaN,NaN
1.92983488904096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437375102172037,0.0302089422866626,0.0547748995891366,0.0502808661639056,0.0712454468720633,0.0791400833318699,0.140402708307212,0.0901855290930313,0.116794375934803,0.0844815231463376,0.115993905012289,0.0808137993772987,0.118070898192569,0.0797184017707031,0.136713671591396,0.0839163155324479,0.0869996091945245,0.0694678095372786,0.0541770846391719,0.074208782372204,0.0745710935953068,0.0718493874059951,0.0869996091945246,0.0804793219850608,0.102334493207325,0.0726277367751247,0.159521415882006,0.0469897689623616,NaN,NaN
1.98185131119398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481574085681528,0.0228162781623535,0.025872955474781,0.029918178930747,0.0937232361797223,0.0605850971792504,0.086995428759217,0.0777743652733937,0.0971528820982682,0.078789857263437,0.133716865054487,0.0920454639199094,0.116794375934803,0.0858522503658475,0.112771852095281,0.0813194829730762,0.108749511493156,0.0829612290051591,0.1398208004912,0.0855514931857925,0.0838924802947201,0.0704479067659065,0.0451475705326433,0.0780823760080117,0.0714639646955023,0.0743269388824733,0.0963209958939379,0.0775440425236915,0.102334493207325,0.0744253172186592,0.153501739810987,0.0698595999658883,NaN,NaN
2.03174849280555,0.0421377324971337,0.0269196332385818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310712889980445,0.0284714937649126,0.087285303029777,0.0463892340933731,0.0295690919711783,0.0610603767345665,0.140584854269583,0.0927636744386116,0.0741072170911849,0.0840915492174282,0.0939144526949926,0.0797163614391284,0.113659335296314,0.0925353945850301,0.0800875720695789,0.087188536849285,0.109549799178273,0.0824968722192299,0.0932138669941334,0.0839040618492676,0.1398208004912,0.0871612428868773,0.0807853513949157,0.0749385589737406,0.0692262748167197,0.0796090659758717,0.0714639646955023,0.0762769398231523,0.090106738094329,0.080770561273452,0.0933049791007961,0.0762433872743308,0.165541091953025,0.0680388367140684,0.083773375842209,0.0714152755789823
2.08224668372979,0.0933049791007961,0.0563704444806424,0.0466069334970667,0.0289602498288591,0.0547748995891366,0.023677686480787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289984762530723,0.025145662801515,0.0289984762530723,0.0236444727112449,0.062142577996089,0.0584415378041564,0.114373845349363,0.0707760656208433,0.0332652284675756,0.0924562376412699,0.140584854269583,0.0934572199842173,0.112771852095281,0.0819679927226978,0.100391311501544,0.0836342931082487,0.123688100175401,0.0933359112583677,0.06340266122175,0.0892288693932008,0.112771852095281,0.0841339283500437,0.0963209958939379,0.0821258252603193,0.1398208004912,0.0888210563659759,0.0745710935953068,0.0755054265236532,0.0692262748167197,0.0825138749155769,0.0714639646955023,0.0780249392913702,0.114963769292765,0.0790378289579722,0.0993246551718152,0.0787592179731954,0.13544271159793,0.0742330103095198,0.0805513229252009,0.0752429055190904
2.13411338058236,0.144472225704459,0.0864233254950182,0.0869996091945246,0.0581177203214201,0.0998836404272492,0.0509147369630961,0.0478753715390283,0.0183743017157569,0.0248570311984356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541770846391719,0.022117702186258,0.0291458646294805,0.0228871084619384,0.0515528466721286,0.0521028542043243,0.0322205291700804,0.0502704138842713,0.0932138669941334,0.0881002629856472,0.0902951410652866,0.0724532337713914,0.0295690919711783,0.0944619899782957,0.159329501505528,0.0952973543958733,0.122438010846305,0.0808412792866134,0.103629740904819,0.0847390946784938,0.120345178549039,0.0939931196533969,0.0667396433913158,0.0887247351251737,0.112771852095281,0.0851753908550232,0.102535253693547,0.0810964374623212,0.0963209958939379,0.09216689847295,0.0838924802947201,0.0769744168386828,0.0722361128522293,0.083009145641783,0.0528211912966756,0.0798038465812851,0.108749511493156,0.0816617094346807,0.0722361128522293,0.0790948366765632,0.13243287356242,0.077059288353118,0.0547748995891366,0.0787438299178358
2.18580869278412,0.156511577846497,0.0883136933392198,0.130499413791787,0.0869197581038724,0.151436487099378,0.0794877261496455,0.0957507430780566,0.0358090869946922,0.0497140623968712,0.0242250537865653,0.0451475705326433,0.0194768163886434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345191613455484,0.0184617842898964,0.02796416009824,0.0209614267794414,0.114373845349363,0.0477532055407371,0.0518148704524097,0.0477540446736728,0.0547748995891366,0.080108158751836,0.0354425820870884,0.0763830776758996,0.0994281247937423,0.0885923109123865,0.0842754649942675,0.0710639966243079,0.0295690919711783,0.0953255010933561,0.178074148741472,0.0976822818115225,0.125660063763313,0.0803419091364971,0.103629740904819,0.0848651508366365,0.123688100175401,0.09418761185033,0.100109465086974,0.0885279423657308,0.0805513229252009,0.0880056315013673,0.118070898192569,0.0791971877105995,0.0932138669941335,0.09236159458269,0.0807853513949157,0.0773148174197473,0.0722361128522293,0.08326101860625,0.0310712889980445,0.0813430683477961,0.105642382593351,0.0821716616349066,0.0782557889232484,0.0784883769113167,0.13243287356242,0.0851864619386779,0.0547748995891366,0.0786773177676748
2.23670964585965,0.165541091953025,0.0870504900168402,0.121178027092374,0.0883516747831821,0.14821443418237,0.0840909583140094,0.0987429537992459,0.0609528136429201,0.0745710935953068,0.0482960185840498,0.0722361128522293,0.0413889140163265,0.0467026029788491,0.0251835753539507,0.0372855467976534,0.0265970698946533,0.0776782224951112,0.0248477338886725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466069334970667,0.0176503603689513,0.0310712889980445,0.02646149602585,0.0621344904219871,0.0426791782165077,0.0434998045972623,0.0450657982276406,0.153501739810987,0.0685652002375109,0.0777223056786146,0.0719360328904373,0.0451087408381125,0.0823738142713009,0.0354425820870884,0.0783515507195299,0.105642382593351,0.0881828644795124,0.0782557889232484,0.0709767594133411,0.051745910949562,0.0948769894373682,0.190570580232102,0.0984004837927427,0.135326222514338,0.0806109844787483,0.100391311501544,0.0836842671231349,0.113659335296314,0.0942283080376167,0.103446447256539,0.0871826015139201,0.0741072170911849,0.0868487109716159,0.118070898192569,0.0801347770529326,0.0994281247937424,0.0919349348977225,0.0869996091945245,0.0760621883236166,0.0782557889232484,0.0818510915551632,0.0248570311984356,0.0827682048850308,0.0932138669941335,0.083843396811422,0.0812656269587579,0.0768754909640021,0.162531253917516,0.077477276379439,0.0579969525061447,0.0787049179742048
2.28628689764183,0.177580444095064,0.0860509434070395,0.121178027092374,0.0899153575913036,0.151436487099378,0.0850653357380089,0.0748052680297317,0.0661314292454197,0.0528211912966756,0.074627556798723,0.0752459508877388,0.0659270276756732,0.0747241647661585,0.0512877998413835,0.0683568357956979,0.0530900487726618,0.142927929391005,0.0521499908246312,0.0692262748167197,0.0222146807513195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745710935953068,0.0202712887864628,0.0776782224951112,0.0406288582064465,0.0341784178978489,0.0546487737557637,0.0897498194984258,0.0657059398161379,0.0590354490962845,0.0703535495731477,0.153501739810987,0.0689228273995016,0.0809607350818902,0.0729122369190514,0.0483307937551206,0.082938313950157,0.0579969525061447,0.0774150791193572,0.108749511493156,0.0885298165262786,0.087285303029777,0.0685562656580718,0.0591381839423566,0.0931524259513168,0.18119825661413,0.096293223167201,0.0966615875102411,0.0834746268309245,0.100391311501544,0.0849499310573774,0.127031021801763,0.0945960133333445,0.0967724829174079,0.0877873908978417,0.0644410583401607,0.0880057654029984,0.11185664039296,0.0806683882644693,0.146035058290809,0.0892004055490998,0.0838924802947201,0.0758059765286741,0.0842754649942675,0.0800216891342624,0.0466069334970667,0.0806603709480079,0.0869996091945246,0.0842613204433311,0.117383683384873,0.0762105206799488,0.159521415882006,0.0785784562664997,0.0579969525061447,0.0783631798751608
2.33661821678101,0.186609958201592,0.0847205944310652,0.124285155992178,0.0906827352530762,0.141770328348354,0.0863114930618932,0.077797478750921,0.0723052001741943,0.0590354490962845,0.0742506412516336,0.060196760710191,0.0687262020460073,0.0778376716314151,0.0791712833470681,0.0714639646955023,0.0813701635297681,0.214391894086507,0.0808983346559556,0.13243287356242,0.0470382249146645,0.0437375102172037,0.0276809647819262,0.0590354490962845,0.0175442969938261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136713671591396,0.0509664108885307,0.114963769292765,0.0670356257234942,0.0559283201964801,0.082939901812368,0.0793940710947612,0.0719119264613986,0.0497140623968712,0.0743808145027278,0.141462387668949,0.0672306424294563,0.0615301586622365,0.0746451682503386,0.0483307937551206,0.0835649731130929,0.0805513229252009,0.0779415667281234,0.118070898192569,0.0882327468601492,0.087285303029777,0.0708592943571239,0.0850111394171376,0.0927432913646415,0.178074148741472,0.092125529061753,0.0934395345932331,0.0838417395503202,0.0939144526949926,0.0865724059828258,0.140402708307212,0.0948526951394835,0.0867615364087105,0.0878911466247271,0.0998836404272492,0.0862052932219077,0.0994281247937423,0.0831181359398263,0.1398208004912,0.0896711220434259,0.062142577996089,0.0756822821937556,0.0812656269587579,0.0795836165703257,0.0714639646955023,0.0765160896583155,0.102535253693547,0.0818396592058899,0.117383683384873,0.0789383234704621,0.156511577846497,0.0759199045948306,0.0612190054231527,0.0783640106766398
